Datum;Auftragsnummer;Stückzahl;Umsatz;Kosten;Verkäufername;Verkäufer-ID;Provisionsfaktor;Kundennummer;Kundenname;Strasse;PLZ;Stadt;Bundesland;Land;Produktnummer;Produktbezeichnung;Verkaufspreis;Einkaufspreis;Jahrgang;Herkunftsland;Produktkategorie;Rebsorte
01.01.2010 00:00;A9789;6;64,152;47,196;Stefan Busch;V4;0,025;K200040;abacus-wein.de;Am Binsengrund 33;70839;Gerlingen;Baden-Württemberg;Deutschland;P100340;Côtes du Rhone E. Guigal;10,692;7,866;2011;Frankreich;Rote Weine;Shiraz
01.01.2010 00:00;A9795;36;175,7376;142,2634752;Ina Bender;V3;0,025;K200100;Aix Vinum Niklas P. Kudlek;Finkenwalder Weg 3;52062;Aachen;Nordrhein-Westfalen;Deutschland;P100260;Pinot Grigio Armani;4,8816;3,9517632;2011;Italien;Weiße Weine;Grauburgunder
01.01.2010 00:00;A9796;6;346,9665;195,3105;Harry Haller;V5;0,01;K200050;Vinovero GmbH & Co.KG;Arnsberger Straße 47;70372;Stuttgart;Baden-Württemberg;Deutschland;P100380;Marie Vallé Spätburgunder;57,82775;32,55175;2004;Deutschland;Exklusiv;Spätburgunder
01.01.2010 00:00;A102045;378;984,13056;796,028809;Karl-Heinz Reimer;V6;0,01;K200330;Wein-Konzept;Völklinger Straße 7;50678;Köln;Nordrhein-Westfalen;Deutschland;P100050;Iphöfer Kronsberg Müller-Thurgau Kabinett;2,60352;2,10589632;2011;Deutschland;Weiße Weine;Müller-Thurgau
01.01.2010 00:00;A102127;12;141,8688;53,74397952;Nicole Schumann;V10;0,02;K200500;Domaine La Louviere;Hobeckweg 9;77761;Schiltach;Baden-Württemberg;Deutschland;P100090;Schloss Proschwitz Grauburgunder Spätlese;11,8224;4,47866496;2010;Deutschland;Weiße Weine;Grauburgunder
01.01.2010 00:00;A102196;54;3779,46;1733,664776;Inge Wagner;V7;0,02;K200480;Darko Pipic Weingrosshandlung;Klettwitzer Straße 22;71409;Schwaikheim;Baden-Württemberg;Deutschland;P100230;Champagne J.M. Gobillard & Fils Brut;69,99;32,10490325;2001;Frankreich;Champagner/Sekt;Champagner
01.01.2010 00:00;A102375;9;41,472;37,92153024;Peter Riedel;V2;0,015;K200630;Commerce du vin Stephane;Karl-Dall Weg 12;33000;Bordeaux;Bordeaux;Frankreich;P100220;Borgo San Daniele Pinot Grigio;4,608;4,21350336;2010;Italien;Weiße Weine;Grauburgunder
01.01.2010 00:00;A102416;72;2384,64;1516,8384;Karl-Heinz Reimer;V6;0,01;K200630;Commerce du vin Stephane;Karl-Dall Weg 12;33000;Bordeaux;Bordeaux;Frankreich;P100180;Private Selection Brogsitter;33,12;21,0672;2012;Deutschland;Exklusiv;Burgunder
01.01.2010 00:00;A102638;12;187,6908;158,5584;Harry Haller;V5;0,01;K200130;Hanseatisches Wein- & Sekt-Kontor;Hannaweg 5;25436;Tornesch;Schleswig-Holstein;Deutschland;P100350;Domaines Ott Rouge Cru Classés;15,6409;13,2132;2012;Frankreich;Rote Weine;Cabernet
01.01.2010 00:00;A102787;90;617,0256;569,0539008;Nicole Schumann;V10;0,02;K200120;Alte Weinbörse GmbH;Grunowstraße 10;80992;München;Bayern;Deutschland;P100130;Grünhäuser Herrenberg Kabinett;6,85584;6,32282112;2010;Deutschland;Weiße Weine;Riesling
02.01.2010 00:00;A9797;9;106,4016;40,30798464;Harry Haller;V5;0,01;K200160;Annes Weinshop;Jahnstraße 66;40595;Düsseldorf;Nordrhein-Westfalen;Deutschland;P100090;Schloss Proschwitz Grauburgunder Spätlese;11,8224;4,47866496;2010;Deutschland;Weiße Weine;Grauburgunder
02.01.2010 00:00;A9798;24;2164,8;1166,8272;Peter Riedel;V2;0,015;K200390;A.B. WEINE;Wallstraße 34;55122;Mainz;Rheinland-Pfalz;Deutschland;P100400;Champagner Jacquesson Dizy Corne Bautray;90,2;48,6178;2004;Frankreich;Champagner/Sekt;Champagner
02.01.2010 00:00;A9799;15;1049,85;481,5735488;Nicole Schumann;V10;0,02;K200240;Weinhandlung Hoffmann;Peter-Edel-Straße 7;15831;Blankenfelde-Mahlow;Brandenburg;Deutschland;P100230;Champagne J.M. Gobillard & Fils Brut;69,99;32,10490325;2001;Frankreich;Champagner/Sekt;Champagner
02.01.2010 00:00;A9805;120;7232,58;4160,772;Karl-Heinz Reimer;V6;0,01;K200240;Weinhandlung Hoffmann;Peter-Edel-Straße 7;15831;Blankenfelde-Mahlow;Brandenburg;Deutschland;P100290;Hommage Sanct Peter Ahrweiler;60,2715;34,6731;2011;Deutschland;Exklusiv;Spätburgunder
02.01.2010 00:00;A9806;3;18,9;17,38262592;Ina Bender;V3;0,025;K200580;Ökoweinkontor;Bruchgrabenweg 3;91177;Thalmässing;Bayern;Deutschland;P100110;Schloss Vollrads Kabinett;6,3;5,79420864;2008;Deutschland;Weiße Weine;Riesling
02.01.2010 00:00;A9807;36;1117,8;711,018;Doris Becker;V1;0,02;K200500;Domaine La Louviere;Hobeckweg 9;77761;Schiltach;Baden-Württemberg;Deutschland;P100360;Prieuré Monopole Blanc;31,05;19,7505;2010;Frankreich;Exklusiv;Burgunder
02.01.2010 00:00;A9808;18;272,9628;202,9104;Otto Mueller;V8;0,01;K200320;oenocultura -wo weintrinken beginnt;Ullrichplatz 9;50129;Bergheim;Nordrhein-Westfalen;Deutschland;P100170;Graf von Neipperg Dornfelder;15,1646;11,2728;2006;Deutschland;Rote Weine;Dornfelder
02.01.2010 00:00;A9809;9;140,7681;118,9188;Otto Mueller;V8;0,01;K200620;Vin de Paris SARL;Place de Paris 280;75008;Paris;Paris;Frankreich;P100350;Domaines Ott Rouge Cru Classés;15,6409;13,2132;2012;Frankreich;Rote Weine;Cabernet
02.01.2010 00:00;A103346;15;193,083;169,092;Peter Riedel;V2;0,015;K200050;Vinovero GmbH & Co.KG;Arnsberger Straße 47;70372;Stuttgart;Baden-Württemberg;Deutschland;P100270;Tenuta di Castiglioni;12,8722;11,2728;2010;Italien;Rote Weine;Cabernet
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
